DATUM,CAS,SUM_of_MNOZSTVO
02/07/2013,1170,18092.829901
02/07/2013,1185,17551.950247
02/07/2013,1200,17121.21782
02/07/2013,1215,16218.417733
02/07/2013,1230,15866.415319
02/07/2013,1245,15926.015967
02/07/2013,1260,16172.486161
02/07/2013,1275,15603.63049
02/07/2013,1290,15437.664009
02/07/2013,1305,15167.70234
02/07/2013,1320,14996.244854
03/07/2013,-105,14670.742387
03/07/2013,-90,14457.583045
03/07/2013,-75,14456.646271
03/07/2013,-60,14392.90289
03/07/2013,-45,14496.971972
03/07/2013,-30,14001.638206
03/07/2013,-15,14096.943468
03/07/2013,0,13692.539169
03/07/2013,15,13279.496651
03/07/2013,30,13364.32115
03/07/2013,45,13736.541746
03/07/2013,60,14110.358308
03/07/2013,75,14222.476566
03/07/2013,90,13977.50075
03/07/2013,105,14136.927965
03/07/2013,120,14308.940109
03/07/2013,135,14508.709821
03/07/2013,150,14282.44766
03/07/2013,165,14658.398648
03/07/2013,180,14946.03382
03/07/2013,195,15382.052988
03/07/2013,210,15702.560927
03/07/2013,225,16495.666514
03/07/2013,240,17196.206071
03/07/2013,255,19037.088017
03/07/2013,270,21332.167354
03/07/2013,285,22311.303757
03/07/2013,300,22722.920064
03/07/2013,315,23722.758772
03/07/2013,330,24141.144694
03/07/2013,345,24944.734152
03/07/2013,360,25344.061211
03/07/2013,375,25742.742233
03/07/2013,390,26296.476813
03/07/2013,405,26959.579703
03/07/2013,420,26782.715689
03/07/2013,435,27229.02796
03/07/2013,450,27469.275175
03/07/2013,465,27722.751268
03/07/2013,480,27566.595675
03/07/2013,495,27380.063946
03/07/2013,510,26726.175284
03/07/2013,525,26102.07619
03/07/2013,540,26050.091827
03/07/2013,555,25567.369278
03/07/2013,570,26186.161595
03/07/2013,585,26342.050433
03/07/2013,600,27208.591822
03/07/2013,615,27328.24252
03/07/2013,630,27462.593201
03/07/2013,645,27049.475036
03/07/2013,660,27148.977755
03/07/2013,675,27627.072649
03/07/2013,690,27267.340209
03/07/2013,705,26525.860902
03/07/2013,720,26161.002027
03/07/2013,735,25863.98492
03/07/2013,750,25798.126217
03/07/2013,765,25809.65635
03/07/2013,780,25568.482831
03/07/2013,795,25644.12218
03/07/2013,810,25334.979869
03/07/2013,825,24683.631253
03/07/2013,840,24436.057498
03/07/2013,855,23964.377801
03/07/2013,870,23657.58738
03/07/2013,885,23031.948348
03/07/2013,900,22799.470534
03/07/2013,915,22678.673177
03/07/2013,930,21820.057406
03/07/2013,945,21192.302998
03/07/2013,960,20318.478198
03/07/2013,975,19005.570578
03/07/2013,990,18962.49896
03/07/2013,1005,19431.847367
03/07/2013,1020,19835.357611
03/07/2013,1035,20209.541862
03/07/2013,1050,20079.84943
03/07/2013,1065,19729.176546
03/07/2013,1080,19892.854596
03/07/2013,1095,19904.57028
03/07/2013,1110,19656.252438
03/07/2013,1125,19376.175455
03/07/2013,1140,19309.676416
03/07/2013,1155,18942.944044
03/07/2013,1170,18116.978594
03/07/2013,1185,17856.183726
03/07/2013,1200,17478.713924
03/07/2013,1215,16884.099361
03/07/2013,1230,16847.191684
03/07/2013,1245,16984.273868
03/07/2013,1260,16601.273672
03/07/2013,1275,16425.109981
03/07/2013,1290,16014.028928
03/07/2013,1305,15408.249614
03/07/2013,1320,15267.013125
04/07/2013,-105,15117.10729
04/07/2013,-90,14857.52271
04/07/2013,-75,15035.118498
04/07/2013,-60,15249.542868
04/07/2013,-45,14968.420044
04/07/2013,-30,14655.349779
04/07/2013,-15,14621.112667
04/07/2013,0,14165.716078
04/07/2013,15,13545.472729
04/07/2013,30,13508.82985
04/07/2013,45,13761.496029
04/07/2013,60,14230.509708
04/07/2013,75,14402.13426
04/07/2013,90,14058.241426
04/07/2013,105,14132.744798
04/07/2013,120,14298.561136
04/07/2013,135,14418.575276
04/07/2013,150,14515.733718
04/07/2013,165,14646.127496
04/07/2013,180,14510.41819
04/07/2013,195,14817.686322
04/07/2013,210,14941.437347
04/07/2013,225,15576.799714
04/07/2013,240,16221.982893
04/07/2013,255,18074.066605
04/07/2013,270,20277.207523
04/07/2013,285,20925.864956
04/07/2013,300,22350.360682
04/07/2013,315,23192.958936
04/07/2013,330,23918.141429
04/07/2013,345,24385.794498
04/07/2013,360,24678.370083
04/07/2013,375,24852.559819
04/07/2013,390,25516.033223
04/07/2013,405,25913.323115
04/07/2013,420,25882.781745
04/07/2013,435,26496.050663
04/07/2013,450,26529.033293
04/07/2013,465,26678.491367
04/07/2013,480,26607.713995
04/07/2013,495,25981.177946
04/07/2013,510,25443.34235
04/07/2013,525,25126.841459
04/07/2013,540,24745.617153
04/07/2013,555,24344.021084
04/07/2013,570,24906.774686
04/07/2013,585,25758.567532
04/07/2013,600,26527.102274
04/07/2013,615,26439.458997
04/07/2013,630,26553.117582
04/07/2013,645,26874.605095
04/07/2013,660,26588.441934
04/07/2013,675,26515.714855
04/07/2013,690,26355.024808
04/07/2013,705,25797.379277
04/07/2013,720,25215.226477
04/07/2013,735,24553.673368
04/07/2013,750,24255.363158
04/07/2013,765,24252.92991
04/07/2013,780,23808.82308
04/07/2013,795,23946.520309
04/07/2013,810,23249.626863
04/07/2013,825,23009.133343
04/07/2013,840,22834.458318
04/07/2013,855,22515.228648
04/07/2013,870,21799.029609
04/07/2013,885,21702.309742
04/07/2013,900,21731.864285
04/07/2013,915,21587.559122
04/07/2013,930,21350.970926
04/07/2013,945,21043.416294
04/07/2013,960,20246.381994
04/07/2013,975,19027.076661
04/07/2013,990,18917.863026
04/07/2013,1005,19189.691701
04/07/2013,1020,19613.369715
04/07/2013,1035,19657.591131
04/07/2013,1050,19516.267592
04/07/2013,1065,19209.815904
04/07/2013,1080,18761.038619
04/07/2013,1095,18628.305881
04/07/2013,1110,18543.66679
04/07/2013,1125,17996.297965
04/07/2013,1140,17645.975176
04/07/2013,1155,17474.993967
04/07/2013,1170,16936.067345
04/07/2013,1185,16427.157987
04/07/2013,1200,15865.065161
04/07/2013,1215,15506.462165
04/07/2013,1230,15447.157439
04/07/2013,1245,15484.985538
04/07/2013,1260,15306.931236
04/07/2013,1275,15121.977677
04/07/2013,1290,14892.730099
04/07/2013,1305,14739.88629
04/07/2013,1320,14073.833213
05/07/2013,-105,14061.061826
05/07/2013,-90,14047.726226
05/07/2013,-75,13835.98902
05/07/2013,-60,13874.050011
05/07/2013,-45,13779.934099
05/07/2013,-30,13632.773444
05/07/2013,-15,13475.145662
05/07/2013,0,12794.912808
05/07/2013,15,12533.926042
05/07/2013,30,12550.839631
05/07/2013,45,12605.932495
05/07/2013,60,12791.513784
05/07/2013,75,13189.040484
05/07/2013,90,13238.086311
05/07/2013,105,13151.808056
05/07/2013,120,13168.273544
05/07/2013,135,13160.040281
05/07/2013,150,12948.331387
05/07/2013,165,12947.047697
05/07/2013,180,12942.937433
05/07/2013,195,12817.556774
05/07/2013,210,12553.347341
05/07/2013,225,12594.880907
05/07/2013,240,12548.39377
05/07/2013,255,13044.114284
05/07/2013,270,14028.249943
05/07/2013,285,14425.555343
05/07/2013,300,14751.855934
05/07/2013,315,14889.960979
05/07/2013,330,15158.816911
05/07/2013,345,15492.367049
05/07/2013,360,16162.482814
05/07/2013,375,15967.537763
05/07/2013,390,16115.562093
05/07/2013,405,16525.808184
05/07/2013,420,16648.516761
05/07/2013,435,16936.504151
05/07/2013,450,16845.616994
05/07/2013,465,16951.780864
05/07/2013,480,17021.224312
05/07/2013,495,16966.895737
05/07/2013,510,16618.686451
05/07/2013,525,16589.318197
05/07/2013,540,16447.1065
05/07/2013,555,16314.831435
05/07/2013,570,16448.405366
05/07/2013,585,16781.523453
05/07/2013,600,16834.853544
05/07/2013,615,16623.780106
05/07/2013,630,16343.565324
05/07/2013,645,16317.502886
05/07/2013,660,16559.783243
05/07/2013,675,16444.102451
05/07/2013,690,16227.950123
05/07/2013,705,15793.470274
05/07/2013,720,15562.837483
05/07/2013,735,15528.259163
05/07/2013,750,15866.083302
05/07/2013,765,15805.764912
05/07/2013,780,16145.506696
05/07/2013,795,16233.771367
05/07/2013,810,16270.22312
05/07/2013,825,16285.412557
05/07/2013,840,16241.403125
05/07/2013,855,16215.724166
05/07/2013,870,16213.240179
05/07/2013,885,16313.655285
05/07/2013,900,16487.026039
05/07/2013,915,16187.848211
05/07/2013,930,15736.427681
05/07/2013,945,15600.411828
05/07/2013,960,15332.517445
05/07/2013,975,14296.63443
05/07/2013,990,14343.056668
05/07/2013,1005,14744.979628
05/07/2013,1020,14967.273925
05/07/2013,1035,15220.702984
05/07/2013,1050,15002.448575
05/07/2013,1065,14863.199121
05/07/2013,1080,15030.692643
05/07/2013,1095,15083.633018
05/07/2013,1110,15334.221571
05/07/2013,1125,15220.854076
05/07/2013,1140,15141.059018
05/07/2013,1155,14915.667322
05/07/2013,1170,14489.313546
05/07/2013,1185,14131.748133
05/07/2013,1200,13748.044193
05/07/2013,1215,12914.437888
05/07/2013,1230,13004.031639
05/07/2013,1245,13209.367564
05/07/2013,1260,13222.04951
05/07/2013,1275,13008.008933
05/07/2013,1290,12823.347373
05/07/2013,1305,12699.438767
05/07/2013,1320,12316.508946
06/07/2013,-105,12085.017934
06/07/2013,-90,12045.575936
06/07/2013,-75,12183.477238
06/07/2013,-60,12047.929668
06/07/2013,-45,12039.152112
06/07/2013,-30,11808.948922
06/07/2013,-15,11762.543152
06/07/2013,0,11413.267472
06/07/2013,15,11466.904073
06/07/2013,30,11371.16696
06/07/2013,45,11318.10104
06/07/2013,60,11592.22609
06/07/2013,75,11967.311804
06/07/2013,90,11812.776957
06/07/2013,105,11819.454712
06/07/2013,120,11929.437719
06/07/2013,135,12131.114844
06/07/2013,150,11954.612725
06/07/2013,165,11759.928354
06/07/2013,180,11900.893661
06/07/2013,195,12191.547227
06/07/2013,210,12528.807426
06/07/2013,225,12708.017907
06/07/2013,240,12905.99285
06/07/2013,255,12892.905825
06/07/2013,270,13768.753166
06/07/2013,285,14281.608865
06/07/2013,300,14554.202377
06/07/2013,315,14418.092454
06/07/2013,330,14563.557312
06/07/2013,345,14979.387858
06/07/2013,360,15286.530259
06/07/2013,375,15514.105928
06/07/2013,390,15543.819343
06/07/2013,405,16162.198202
06/07/2013,420,16411.866747
06/07/2013,435,16696.983
06/07/2013,450,17025.726369
06/07/2013,465,16928.876669
06/07/2013,480,17260.672102
06/07/2013,495,17041.947418
06/07/2013,510,16926.208318
06/07/2013,525,16746.961947
06/07/2013,540,16634.041012
06/07/2013,555,16418.98663
06/07/2013,570,16740.589908
06/07/2013,585,16740.525528
06/07/2013,600,16567.751104
06/07/2013,615,16053.777985
06/07/2013,630,16111.719252
06/07/2013,645,16124.876287
06/07/2013,660,16175.630687
06/07/2013,675,15915.187659
06/07/2013,690,15685.216357
06/07/2013,705,15429.073526
06/07/2013,720,15194.564098
06/07/2013,735,15161.445925
06/07/2013,750,15415.201486
06/07/2013,765,15189.787554
06/07/2013,780,15419.533637
06/07/2013,795,15600.660339
06/07/2013,810,15516.44458
